river_id,river_name,step,face,u,v,distance_blocks,terrain_elevation,bed_elevation,water_surface,discharge,width,depth,stream_order,tributaries,lake_id,ocean_id,sink_name
211,Varmere River,0,neg_x,141,58,0.000,68.809,66.646,68.000,1300.24426,3.320,1.350,1,0,0,0,The World Ocean
211,Varmere River,1,neg_x,142,59,41.709,68.516,66.605,68.000,1546.60608,3.520,1.400,1,1,0,0,The World Ocean
211,Varmere River,2,neg_x,143,60,83.402,68.317,65.382,67.000,1854.56506,3.330,1.620,1,1,0,0,The World Ocean
211,Varmere River,3,neg_x,144,61,125.078,68.090,65.368,67.000,1940.82690,3.390,1.630,1,1,0,0,The World Ocean
211,Varmere River,4,neg_x,145,62,166.739,67.912,65.361,67.000,1992.53845,3.420,1.640,1,1,0,0,The World Ocean
211,Varmere River,5,neg_x,146,63,208.385,67.750,65.355,67.000,2032.96667,3.440,1.650,1,1,0,0,The World Ocean
211,Varmere River,6,neg_x,147,64,250.018,67.526,65.346,67.000,2091.05518,3.480,1.650,1,1,0,0,The World Ocean
211,Varmere River,7,neg_x,148,64,277.778,67.244,64.123,66.000,4060.85815,4.450,1.880,2,2,0,0,The World Ocean
211,Varmere River,8,neg_x,149,64,305.555,67.015,63.954,66.000,6223.28613,5.280,2.050,2,2,0,0,The World Ocean
211,Varmere River,9,neg_x,150,63,346.568,66.680,63.696,66.000,10873.40820,6.660,2.300,2,3,0,0,The World Ocean
211,Varmere River,10,neg_x,151,62,387.582,66.358,63.500,66.000,15682.32617,7.800,2.500,2,3,0,0,The World Ocean
211,Varmere River,11,neg_x,152,62,415.332,66.153,62.397,65.000,18739.02148,8.430,2.600,2,2,0,0,The World Ocean
211,Varmere River,12,neg_x,153,61,456.330,65.859,62.264,65.000,23261.21875,9.280,2.740,2,3,0,0,The World Ocean
211,Varmere River,13,neg_x,154,61,484.078,65.656,62.174,65.000,26700.95703,9.870,2.830,2,2,0,0,The World Ocean
211,Varmere River,14,neg_x,155,60,525.060,65.357,62.080,65.000,30663.10742,10.500,2.920,2,3,0,0,The World Ocean
211,Varmere River,15,neg_x,156,59,566.040,65.054,62.031,65.000,32849.30078,10.840,2.970,2,1,0,0,The World Ocean
211,Varmere River,16,neg_x,157,58,607.020,64.744,61.979,65.000,35348.45312,11.210,3.020,2,1,0,0,The World Ocean
211,Varmere River,17,neg_x,158,57,647.998,64.556,61.923,65.000,38117.48438,11.600,3.080,2,1,0,0,The World Ocean
211,Varmere River,18,neg_x,159,56,688.974,64.506,61.867,65.000,41108.75781,12.010,3.130,2,1,0,0,The World Ocean
211,Varmere River,19,neg_x,160,55,729.948,64.487,61.821,65.000,43605.94922,12.340,3.180,2,1,0,0,The World Ocean
211,Varmere River,20,neg_x,161,54,770.919,64.437,61.776,65.000,46182.89453,12.670,3.220,2,1,0,0,The World Ocean
211,Varmere River,21,neg_x,162,53,811.886,64.415,61.742,65.000,48204.37109,12.920,3.260,2,1,0,0,The World Ocean
211,Varmere River,22,neg_x,163,52,852.849,64.423,61.240,65.000,85645.77344,16.890,3.760,3,2,0,0,The World Ocean
211,Varmere River,23,neg_x,164,51,893.808,64.383,61.219,65.000,87535.44531,17.060,3.780,3,1,0,0,The World Ocean
211,Varmere River,24,neg_x,165,51,921.367,64.365,61.196,65.000,89599.78125,17.250,3.800,3,1,0,0,The World Ocean
211,Varmere River,25,neg_x,166,50,962.296,64.350,61.194,64.000,90303.00000,30.300,2.740,3,1,0,0,The World Ocean
34,Isun River,0,pos_x,249,54,0.000,87.016,83.888,86.000,12407.79883,7.910,2.110,1,0,0,0,The World Ocean
34,Isun River,1,pos_x,248,53,47.009,86.778,83.789,86.000,15226.91895,8.640,2.210,2,2,0,0,The World Ocean
